Epoch 0126/2100 | Loss 0.07129 | Score: -8.0 | Epsilon=0.0940 (train=True)
Epoch 0127/2100 | Loss 0.07951 | Score: -5.0 | Epsilon=0.0940 (train=True)
Epoch 0128/2100 | Loss 0.08102 | Score: -4.0 | Epsilon=0.0939 (train=True)
Epoch 0129/2100 | Loss 0.07193 | Score: -6.0 | Epsilon=0.0939 (train=True)
Epoch 0130/2100 | Loss 0.07115 | Score: -7.0 | Epsilon=0.0938 (train=True)
Epoch 0131/2100 | Loss 0.07137 | Score: -8.0 | Epsilon=0.0938 (train=True)
Epoch 0132/2100 | Loss 0.08678 | Score: -5.0 | Epsilon=0.0937 (train=True)
Epoch 0133/2100 | Loss 0.08647 | Score: -8.0 | Epsilon=0.0937 (train=True)
Epoch 0134/2100 | Loss 0.08060 | Score: -5.0 | Epsilon=0.0936 (train=True)
Epoch 0135/2100 | Loss 0.06163 | Score: -7.0 | Epsilon=0.0936 (train=True)
Epoch 0136/2100 | Loss 0.09135 | Score: -7.0 | Epsilon=0.0935 (train=True)
Epoch 0137/2100 | Loss 0.08805 | Score: -7.0 | Epsilon=0.0935 (train=True)
Epoch 0138/2100 | Loss 0.06762 | Score: -8.0 | Epsilon=0.0934 (train=True)
Epoch 0139/2100 | Loss 0.08069 | Score: -8.0 | Epsilon=0.0934 (train=True)
Epoch 0140/2100 | Loss 0.07094 | Score: -8.0 | Epsilon=0.0933 (train=True)
Epoch 0141/2100 | Loss 0.07239 | Score: -7.0 | Epsilon=0.0933 (train=True)
Epoch 0142/2100 | Loss 0.07671 | Score: -6.0 | Epsilon=0.0932 (train=True)
Epoch 0143/2100 | Loss 0.04996 | Score: -5.0 | Epsilon=0.0932 (train=True)
Epoch 0144/2100 | Loss 0.06475 | Score: -2.0 | Epsilon=0.0931 (train=True)
Epoch 0145/2100 | Loss 0.06734 | Score: -6.0 | Epsilon=0.0931 (train=True)
Epoch 0146/2100 | Loss 0.07657 | Score: 1.0 | Epsilon=0.0931 (train=True)
Epoch 0147/2100 | Loss 0.09193 | Score: -7.0 | Epsilon=0.0930 (train=True)
Epoch 0148/2100 | Loss 0.08963 | Score: -7.0 | Epsilon=0.0930 (train=True)
Epoch 0149/2100 | Loss 0.07869 | Score: -4.0 | Epsilon=0.0929 (train=True)
Epoch 0150/2100 | Loss 0.07071 | Score: -7.0 | Epsilon=0.0929 (train=True)
Epoch 0151/2100 | Loss 0.06181 | Score: -7.0 | Epsilon=0.0928 (train=True)
Epoch 0152/2100 | Loss 0.07876 | Score: -5.0 | Epsilon=0.0928 (train=True)
Epoch 0153/2100 | Loss 0.07231 | Score: -4.0 | Epsilon=0.0927 (train=True)
Epoch 0154/2100 | Loss 0.08295 | Score: -4.0 | Epsilon=0.0927 (train=True)
Epoch 0155/2100 | Loss 0.07964 | Score: -5.0 | Epsilon=0.0926 (train=True)
Epoch 0156/2100 | Loss 0.06675 | Score: -3.0 | Epsilon=0.0926 (train=True)
Epoch 0157/2100 | Loss 0.05659 | Score: -8.0 | Epsilon=0.0925 (train=True)
Epoch 0158/2100 | Loss 0.08257 | Score: -6.0 | Epsilon=0.0925 (train=True)
Epoch 0159/2100 | Loss 0.06509 | Score: -7.0 | Epsilon=0.0924 (train=True)
Epoch 0160/2100 | Loss 0.05177 | Score: -6.0 | Epsilon=0.0924 (train=True)
Epoch 0161/2100 | Loss 0.07999 | Score: -7.0 | Epsilon=0.0923 (train=True)
Epoch 0162/2100 | Loss 0.05855 | Score: -8.0 | Epsilon=0.0923 (train=True)
Epoch 0163/2100 | Loss 0.07526 | Score: -6.0 | Epsilon=0.0922 (train=True)
Epoch 0164/2100 | Loss 0.09361 | Score: -7.0 | Epsilon=0.0922 (train=True)
Epoch 0165/2100 | Loss 0.08942 | Score: -7.0 | Epsilon=0.0922 (train=True)
Epoch 0166/2100 | Loss 0.06302 | Score: -4.0 | Epsilon=0.0921 (train=True)
Epoch 0167/2100 | Loss 0.07499 | Score: -6.0 | Epsilon=0.0921 (train=True)
Epoch 0168/2100 | Loss 0.09499 | Score: -6.0 | Epsilon=0.0920 (train=True)
Epoch 0169/2100 | Loss 0.08148 | Score: -6.0 | Epsilon=0.0920 (train=True)
Epoch 0170/2100 | Loss 0.08744 | Score: -4.0 | Epsilon=0.0919 (train=True)
Epoch 0171/2100 | Loss 0.08202 | Score: -8.0 | Epsilon=0.0919 (train=True)
Epoch 0172/2100 | Loss 0.08216 | Score: -2.0 | Epsilon=0.0918 (train=True)
